respondent_id,choice_set,label,choice_ind,package,terms,diet,state,survey_completion_secs,gender,age,us_region,household_income,fast_food_frequency,primary_grocery_shopper,occupation,ethnicity,primary_role_org,marital_status,housing,household_size,main_grocery_store,education,main_fast_food,final_comments,data_source
121975430,1,1,0,package 1,thick&juicy,omnivore,Ohio,126,Male,57.0,Midwest,"$0 - $14,999",Prefer not to say,No,Retired,White,I don't work,Single / Never married,Living with my parents,2,Save-A-Lot (US),University/Higher Education,Burger King,,pilot
121975431,1,1,0,package 1,thick&juicy,omnivore,North Carolina,150,Female,72.0,South,"$50,000 - $79,999",Less than once per week,Yes,Retired,White,I don't work,Widowed,Owned apartment,1,Other,High School/Tertiary/Tech. College,Taco Bell,,pilot
121979482,1,1,0,package 1,thick&juicy,omnivore,Illinois,158,Female,75.0,Midwest,"$25,000 - $49,999",Less than once per week,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,Prefer not to say,University/Higher Education,McDonald's,,pilot
121979488,1,1,0,package 1,thick&juicy,omnivore,Florida,187,Male,72.0,South,"$25,000 - $49,999",One to three times per week,Yes,Retired,White,I don't work,Married,Owned house,3,Costco (US),None completed,Burger King,,pilot
121983607,1,1,0,package 1,thick&juicy,omnivore,Virginia,210,Male,40.0,South,"$25,000 - $49,999",Four to six times per week,Yes,Full-time work,White,Senior Management,Single / Never married,Rented house,3,Costco (US),University/Higher Education,,good I like this,pilot
121987757,1,1,0,package 1,thick&juicy,omnivore,Arizona,236,Male,48.0,West,"$25,000 - $49,999",One to three times per week,Yes,Unemployed,White,I don't work,Married,Other,3,Kroger (US),University/Higher Education,Sonic Drive-In,I like the thick & juicy look on a box of burgers,pilot
121987830,1,1,0,package 1,thick&juicy,omnivore,Florida,164,Female,26.0,South,"$15,000 - $24,999",Four to six times per week,Yes,Part-time work,Hispanic or Latino,Information technology manager/director,Domestic partnership / Living with partner,Owned house,5,Costco (US),University/Higher Education,Dunkin' Donuts;Hungry Jack's;Jack in the Box;KFC;Popeyes Chicken & Biscuits,"Me encantó esta encuesta, súper dinamica",pilot
121987858,1,1,0,package 1,thick&juicy,omnivore,Ohio,128,Female,72.0,Midwest,"$25,000 - $49,999",Less than once per week,Yes,Retired,White,I don't work,Divorced,Owned house,1,SuperTarget (US),University/Higher Education,Krystal,,pilot
121988019,1,1,0,package 1,thick&juicy,omnivore,Washington,222,Male,80.0,West,"$25,000 - $49,999",I don't eat at fast food restaurants,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,Walmart (US),High School/Tertiary/Tech. College,McDonald's;Subway,Very different and very interesting.,pilot
122494248,1,1,0,package 1,thick&juicy,omnivore,Texas,350,Female,64.0,South,"$25,000 - $49,999",Prefer not to say,Yes,Retired,White,I don't work,Widowed,Rented apartment,1,Prefer not to say,University/Higher Education,Popeyes Chicken & Biscuits,,pilot
122494249,1,1,0,package 1,thick&juicy,omnivore,Ohio,139,Female,31.0,Midwest,"$25,000 - $49,999",I don't eat at fast food restaurants,Yes,Homemaker,White,I don't work,Married,Owned house,5,,High School/Tertiary/Tech. College,Pizza Hut,,pilot
122494251,1,1,1,package 1,thick&juicy,omnivore,Pennsylvania,179,Male,55.0,Northeast,"$0 - $14,999",Less than once per week,Yes,Unemployed,White,I don't work,Divorced,Rented apartment,1,Prefer not to say,High School/Tertiary/Tech. College,Subway,,pilot
122494254,1,1,1,package 1,thick&juicy,omnivore,Pennsylvania,247,Female,35.0,Northeast,"$15,000 - $24,999",Less than once per week,Yes,Part-time work,American Indian or Alaska Native,Senior Management,Separated,Living with my parents,5,SuperTarget (US),University/Higher Education,Burger King,,pilot
122494257,1,1,0,package 1,thick&juicy,omnivore,Illinois,163,Female,27.0,Midwest,"$0 - $14,999",Prefer not to say,No,Unemployed,Hispanic or Latino,I don't work,Domestic partnership / Living with partner,Rented apartment,2,,None completed,Burger King,,pilot
122494259,1,1,0,package 1,thick&juicy,omnivore,California,145,Female,26.0,Midwest,"$80,000 - $99,999",I don't eat at fast food restaurants,Prefer not to say,Homemaker,White,I don't work,Married,Owned house,5,Walmart (US),University/Higher Education,Dunkin' Donuts,,pilot
122494261,1,1,0,package 1,thick&juicy,omnivore,West Virginia,185,Female,40.0,South,"$25,000 - $49,999",One to three times per week,Yes,Full-time work,White,Administrative/Clerical,Single / Never married,Rented apartment,2,,University/Higher Education,Pizza Hut,,pilot
122494262,1,1,0,package 1,thick&juicy,omnivore,Colorado,73,Male,25.0,West,"$50,000 - $79,999",,Yes,Unemployed,White,HR manager,Single / Never married,,,,High School/Tertiary/Tech. College,,,pilot
122494266,1,1,0,package 1,thick&juicy,omnivore,California,117,Male,61.0,West,"$25,000 - $49,999",,Yes,Retired,White,President/CEO/Chairperson,Divorced,Owned house,2,Walmart (US),University/Higher Education,,,pilot
122494269,1,1,0,package 1,thick&juicy,omnivore,Michigan,115,Male,24.0,Midwest,"$100,000 - $149,999",Less than once per week,Prefer not to say,Full-time work,Black or African American,I don't work,Single / Never married,Living with my parents,6+,Other,University/Higher Education,Sonic Drive-In,,pilot
122494271,1,1,1,package 1,thick&juicy,omnivore,Ohio,184,Male,73.0,Midwest,"$50,000 - $79,999",Four to six times per week,Yes,Retired,White,I don't work,Married,Owned house,2,,University/Higher Education,,,pilot
122494273,1,1,0,package 1,thick&juicy,omnivore,Montana,115,Female,42.0,West,"$100,000 - $149,999",Prefer not to say,Yes,Full-time work,White,I don't work,Married,Owned house,1,Prefer not to say,University/Higher Education,McDonald's,,pilot
122494275,1,1,0,package 1,thick&juicy,veg,Arizona,124,Female,44.0,West,"$15,000 - $24,999",Less than once per week,Yes,Own business / Self-employed / Freelance,White,Owner or Partner,Divorced,Owned house,4,Costco (US),Postgraduate Education,Subway,,pilot
122494276,1,1,0,package 1,thick&juicy,omnivore,Montana,186,Female,65.0,West,"$0 - $14,999",I don't eat at fast food restaurants,Yes,Retired,White,I don't work,Divorced,Rented house,1,Prefer not to say,University/Higher Education,McDonald's,Hey I enjoyed this short survey!  thanks for letting me finish!,pilot
122494278,1,1,0,package 1,thick&juicy,omnivore,Arizona,74,Female,24.0,West,"$50,000 - $79,999",One to three times per week,Yes,Full-time work,White,I don't work,Single / Never married,Rented house,1,,University/Higher Education,McDonald's,,pilot
122494279,1,1,0,package 1,thick&juicy,omnivore,Illinois,128,Female,41.0,Midwest,"$80,000 - $99,999",I don't eat at fast food restaurants,Yes,Full-time work,White,"Health professional (doctor, nurse, pharmacist)",Married,Rented house,4,Prefer not to say,University/Higher Education,Dunkin' Donuts,,pilot
122494280,1,1,0,package 1,thick&juicy,omnivore,Florida,172,Female,63.0,South,"$25,000 - $49,999",Less than once per week,Prefer not to say,Part-time work,Hispanic or Latino,I don't work,Married,Owned apartment,2,Prefer not to say,University/Higher Education,Dunkin' Donuts;KFC;Little Caesars Pizza;Sonic Drive-In;Steak n Shake,,pilot
122494281,1,1,0,package 1,thick&juicy,omnivore,Wisconsin,196,Female,46.0,Midwest,"$15,000 - $24,999",,Yes,Full-time work,White,I don't work,Single / Never married,Rented apartment,6+,Kroger (US),University/Higher Education,,,pilot
122494282,1,1,0,package 1,thick&juicy,omnivore,Virginia,275,Male,34.0,West,"$25,000 - $49,999",Prefer not to say,Yes,Active military service,White,I don't work,Single / Never married,Other,1,,High School/Tertiary/Tech. College,Taco Bell,"I despise plant based products and would rather have actual meat, from an animal than any agenda that is being pushed here. It doesn't matter if it tastes like meat or nor plant based hamburger meat is garbage and I would much rather overturn society than ever eat this shit. ",pilot
122494283,1,1,1,package 1,thick&juicy,omnivore,New York,133,Female,30.0,South,"$25,000 - $49,999",Less than once per week,Yes,Homemaker,White,I don't work,Domestic partnership / Living with partner,Owned house,6+,,Postgraduate Education,,,pilot
122494284,1,1,0,package 1,thick&juicy,veg,Michigan,211,Female,42.0,Midwest,"$15,000 - $24,999",Prefer not to say,Yes,Part-time work,White,Other non management staff,Divorced,Rented house,3,,High School/Tertiary/Tech. College,Subway,Nice and easy survey!,pilot
122494287,1,1,1,package 1,thick&juicy,omnivore,Pennsylvania,84,Female,23.0,Northeast,"$100,000 - $149,999",I don't eat at fast food restaurants,Yes,Full-time work,White,Faculty/Teaching Staff,Married,Owned house,2,Costco (US);Kmart (US);Walmart (US),University/Higher Education,Burger King,Very easy to complete. Thank you,pilot
122494288,1,1,0,package 1,thick&juicy,omnivore,Arizona,115,Female,24.0,West,"$50,000 - $79,999",I don't eat at fast food restaurants,Yes,Own business / Self-employed / Freelance,Other,Owner or Partner,Married,Rented apartment,2,Walmart (US),University/Higher Education,Sonic Drive-In,,pilot
122494290,1,1,0,package 1,thick&juicy,omnivore,Wisconsin,143,Female,62.0,Midwest,"$25,000 - $49,999",Less than once per week,Yes,Homemaker,White,I don't work,Married,Rented house,2,Kroger (US),High School/Tertiary/Tech. College,,,pilot
122494291,1,1,0,package 1,thick&juicy,omnivore,Texas,238,Male,49.0,Northeast,"$0 - $14,999",Prefer not to say,Yes,Unable to work,White,I don't work,Domestic partnership / Living with partner,Rented house,2,Walmart (US),University/Higher Education,Burger King,,pilot
122494292,1,1,0,package 1,thick&juicy,omnivore,Oregon,205,Female,40.0,West,"$50,000 - $79,999",One to three times per week,Yes,Unable to work,White,I don't work,Married,Owned house,3,Safeway (US);Walmart (US),University/Higher Education,KFC,,pilot
122494295,1,1,0,package 1,thick&juicy,omnivore,Colorado,117,Female,24.0,South,"$25,000 - $49,999",One to three times per week,Yes,Full-time work,White,Administrative/Clerical,Married,Rented house,3,,High School/Tertiary/Tech. College,Sonic Drive-In,,pilot
122494298,1,1,0,package 1,thick&juicy,omnivore,Tennessee,76,Female,46.0,South,"$50,000 - $79,999",Four to six times per week,Prefer not to say,Full-time work,White,,Single / Never married,Rented house,3,,University/Higher Education,,,pilot
122494300,1,1,0,package 1,thick&juicy,reducer,Massachusetts,179,Male,65.0,Northeast,"$15,000 - $24,999",One to three times per week,Yes,Retired,I prefer not to answer,I don't work,Single / Never married,Rented apartment,2,Aldi (US),High School/Tertiary/Tech. College,Subway,,pilot
122494303,1,1,0,package 1,thick&juicy,omnivore,Kentucky,88,Female,23.0,South,"$50,000 - $79,999",Ten times or more per week,No,Unemployed,White,I don't work,Single / Never married,Rented apartment,2,Walmart (US),High School/Tertiary/Tech. College,Subway,,pilot
122494306,1,1,0,package 1,thick&juicy,omnivore,New York,78,Male,21.0,Northeast,"$50,000 - $79,999",Seven to nine times per week,Yes,Unemployed,Hispanic or Latino,I don't work,Single / Never married,Living with my parents,3,,University/Higher Education,,,pilot
122494307,1,1,0,package 1,thick&juicy,omnivore,Louisiana,162,Female,51.0,South,"$100,000 - $149,999",Less than once per week,I participate equally in grocery purchase decision,Full-time work,Other,Technical Staff,Married,Owned house,3,,High School/Tertiary/Tech. College,,,pilot
122494308,1,1,0,package 1,thick&juicy,omnivore,Virginia,204,Male,67.0,South,"$50,000 - $79,999",Less than once per week,Yes,Retired,Black or African American,I don't work,Widowed,Rented apartment,1,Food Lion (US);Kroger (US);Walmart (US),University/Higher Education,Arby's;Burger King;Captain D's;Church's Chicken;KFC;Little Caesars Pizza;Long John Silver's;McDonald's;Taco Bell;Wendy's,,pilot
122494309,1,1,0,package 1,thick&juicy,omnivore,Florida,253,Female,75.0,South,"$25,000 - $49,999",Ten times or more per week,Yes,Own business / Self-employed / Freelance,Hispanic or Latino,Administrative/Clerical,Married,Rented house,6+,Walmart (US),University/Higher Education,Wendy's,,pilot
122494311,1,1,0,package 1,thick&juicy,reducer,Kansas,95,Male,28.0,Midwest,,,Yes,Full-time work,Hispanic or Latino,Business Administrator,Divorced,,,,University/Higher Education,,Thanks 👍,pilot
122494313,1,1,0,package 1,thick&juicy,omnivore,Pennsylvania,123,Female,42.0,Northeast,"$25,000 - $49,999",I don't eat at fast food restaurants,Prefer not to say,Homemaker,White,I don't work,Married,Owned house,4,,University/Higher Education,Wendy's,,pilot
122494314,1,1,0,package 1,thick&juicy,omnivore,Illinois,163,Male,50.0,Midwest,"$50,000 - $79,999",One to three times per week,Yes,Full-time work,Black or African American,Production services manager/director,Married,Rented house,4,,High School/Tertiary/Tech. College,KFC,,pilot
122494318,1,1,0,package 1,thick&juicy,omnivore,Texas,180,Male,48.0,South,"$50,000 - $79,999",One to three times per week,Prefer not to say,Full-time work,Hispanic or Latino,,Married,Rented house,3,,University/Higher Education,Arby's,Get the word out.  There are thousands of diabetic people out there.  ,pilot
122494320,1,1,0,package 1,thick&juicy,reducer,Pennsylvania,94,Female,29.0,South,"$100,000 - $149,999",Less than once per week,Prefer not to say,Homemaker,White,I don't work,Married,Owned house,6+,SuperTarget (US);Walmart (US),University/Higher Education,McDonald's,,pilot
122494321,1,1,0,package 1,thick&juicy,omnivore,Pennsylvania,191,Male,64.0,Northeast,"$0 - $14,999",One to three times per week,Yes,Retired,White,I don't work,Single / Never married,Owned house,1,Other,High School/Tertiary/Tech. College,Burger King,,pilot
122494322,1,1,0,package 1,thick&juicy,omnivore,California,118,Male,64.0,West,"$25,000 - $49,999",Less than once per week,Yes,Retired,White,Craftsman/Tradesman,Divorced,Rented apartment,1,,University/Higher Education,Jack in the Box,,pilot
122494324,1,1,0,package 1,thick&juicy,omnivore,Pennsylvania,100,Male,76.0,Midwest,"$80,000 - $99,999",Four to six times per week,Yes,Retired,White,I don't work,Married,Owned house,2,Prefer not to say,University/Higher Education,Arby's,,pilot
122494325,1,1,0,package 1,thick&juicy,omnivore,Minnesota,215,Female,57.0,Midwest,"$15,000 - $24,999",Less than once per week,I participate equally in grocery purchase decision,Full-time work,White,I don't work,Separated,Owned house,5,Walmart (US),High School/Tertiary/Tech. College,,,pilot
122494329,1,1,0,package 1,thick&juicy,omnivore,Oregon,189,Female,67.0,West,"$15,000 - $24,999",Prefer not to say,Yes,Part-time work,White,Healthcare technologist/administrator,Separated,Rented apartment,1,Costco (US),High School/Tertiary/Tech. College,None,"I would never purchase nor eat plant-based ""meat""",pilot
122494331,1,1,0,package 1,thick&juicy,omnivore,California,276,Male,48.0,West,"$25,000 - $49,999",One to three times per week,Yes,Unemployed,Hispanic or Latino,I don't work,Single / Never married,Rented apartment;Rented apartment,1,Walmart (US),High School/Tertiary/Tech. College,A&W Restaurants;Arby's;Burger King;Dairy Queen;Del Taco;Dunkin' Donuts;In-N-Out Burger;Jack in the Box;KFC;Krispy Kreme;McDonald's;Panda Express;Pizza Hut;Popeyes Chicken & Biscuits;Quiznos;Sonic Drive-In;Subway;Taco Bell;Wendy's;Domino's;Little Caesars Pizza;Carl's JR,,pilot
122494332,1,1,0,package 1,thick&juicy,omnivore,Michigan,190,Female,66.0,Midwest,"$50,000 - $79,999",One to three times per week,Yes,Retired,White,I don't work,Divorced,Owned house,3,Walmart (US),University/Higher Education,Jack in the Box,,pilot
122494333,1,1,1,package 1,thick&juicy,reducer,Florida,241,Female,38.0,South,"$15,000 - $24,999",,,,White,,,,,,High School/Tertiary/Tech. College,,"Weird, but thank you ",pilot
122494334,1,1,1,package 1,thick&juicy,omnivore,Georgia,156,Female,70.0,South,"$50,000 - $79,999",One to three times per week,Prefer not to say,Retired,White,I don't work,Married,Owned house,3,Prefer not to say,University/Higher Education,Wendy's,,pilot
122494335,1,1,1,package 1,thick&juicy,omnivore,Illinois,213,Male,47.0,Midwest,"$100,000 - $149,999",Less than once per week,Yes,Full-time work,White,"Driver (e.g taxi, bus, van, truck driver)",Domestic partnership / Living with partner,Owned house,5,,High School/Tertiary/Tech. College,Wendy's,,pilot
122494336,1,1,1,package 1,thick&juicy,omnivore,Michigan,129,Male,43.0,Midwest,"$25,000 - $49,999",Four to six times per week,Yes,Unemployed,White,Senior Management,Single / Never married,Rented house,2,Walmart (US),University/Higher Education,Taco Bell,,pilot
122494337,1,1,1,package 1,thick&juicy,omnivore,New York,126,Female,23.0,Northeast,"$15,000 - $24,999",,,Own business / Self-employed / Freelance,White,,,,,,High School/Tertiary/Tech. College,,,pilot
122494338,1,1,0,package 1,thick&juicy,omnivore,Ohio,289,Female,32.0,Midwest,,,,Full-time work,Hispanic or Latino,,,,,,University/Higher Education,,,pilot
122494339,1,1,0,package 1,thick&juicy,reducer,Missouri,117,Male,47.0,Midwest,"$100,000 - $149,999",Less than once per week,Yes,Full-time work,White,C-level executive,Single / Never married,Owned house,1,Trader Joe's (US),University/Higher Education,,,pilot
122494340,1,1,0,package 1,thick&juicy,omnivore,New Jersey,173,Female,60.0,Northeast,"$15,000 - $24,999",Prefer not to say,Yes,Unemployed,Asian,I don't work,Divorced,Rented apartment,1,,University/Higher Education,Burger King,None ,pilot
122494341,1,1,0,package 1,thick&juicy,reducer,Wisconsin,99,Female,29.0,Midwest,"$25,000 - $49,999",Less than once per week,Yes,Full-time work,White,Personal care/protective service worker,Single / Never married,Rented house,2,Kroger (US),High School/Tertiary/Tech. College,Subway,,pilot
122494343,1,1,1,package 1,thick&juicy,omnivore,Pennsylvania,164,Female,63.0,Northeast,"$0 - $14,999",Prefer not to say,Prefer not to say,Retired,White,I don't work,Domestic partnership / Living with partner,Other,2,,University/Higher Education,Dunkin' Donuts,,pilot
122494344,1,1,0,package 1,thick&juicy,omnivore,New Jersey,182,Female,49.0,Northeast,"$25,000 - $49,999",One to three times per week,Yes,Full-time work,White,Senior Management,Single / Never married,Rented house,4,,High School/Tertiary/Tech. College,Burger King,,pilot
122494345,1,1,0,package 1,thick&juicy,omnivore,Illinois,212,Male,42.0,Midwest,"$0 - $14,999",Prefer not to say,Prefer not to say,Own business / Self-employed / Freelance,Hispanic or Latino,I don't work,Single / Never married,Other,4,,High School/Tertiary/Tech. College,Burger King,Very easy and nice service thank you,pilot
122494346,1,1,0,package 1,thick&juicy,omnivore,New York,122,Female,22.0,South,,,,,Black or African American,,,,,,High School/Tertiary/Tech. College,,,pilot
122494347,1,1,0,package 1,thick&juicy,omnivore,Virginia,124,Female,28.0,South,"$25,000 - $49,999",Four to six times per week,Prefer not to say,Part-time work,White,Active armed forces/military,Married,Rented house,3,Prefer not to say,University/Higher Education,McDonald's,,pilot
122494348,1,1,1,package 1,thick&juicy,omnivore,Texas,222,Female,72.0,South,"$25,000 - $49,999",I don't eat at fast food restaurants,Yes,Retired,White,I don't work,Divorced,Rented house,1,Costco (US),Postgraduate Education,Other,,pilot
122494349,1,1,1,package 1,thick&juicy,omnivore,Ohio,113,Male,29.0,Midwest,"$0 - $14,999",,I participate equally in grocery purchase decision,,,,,,,,,,,pilot
122494350,1,1,0,package 1,thick&juicy,omnivore,Utah,228,Female,27.0,West,"$25,000 - $49,999",Four to six times per week,Yes,Full-time work,Hispanic or Latino,Owner or Partner,Married,Owned house,4,,University/Higher Education,Subway,,pilot
122494352,1,1,0,package 1,thick&juicy,omnivore,Michigan,180,Male,73.0,Midwest,"$50,000 - $79,999",One to three times per week,Yes,Retired,White,I don't work,Married,Owned house,2,Prefer not to say,University/Higher Education,Other,,pilot
122494353,1,1,1,package 1,thick&juicy,omnivore,Tennessee,133,Female,42.0,South,"$0 - $14,999",One to three times per week,Yes,Full-time work,White,Health service manager/director,Single / Never married,Rented house,2,,None completed,KFC,,pilot
122494354,1,1,0,package 1,thick&juicy,omnivore,Georgia,139,Female,32.0,South,"$25,000 - $49,999",Four to six times per week,Yes,Own business / Self-employed / Freelance,White,,Separated,Owned house,5,,Postgraduate Education,Sonic Drive-In,,pilot
122494360,1,1,1,package 1,thick&juicy,reducer,New York,185,Male,34.0,South,"$15,000 - $24,999",,Yes,Full-time work,White,,Single / Never married,,,,High School/Tertiary/Tech. College,,,pilot
122494361,1,1,1,package 1,thick&juicy,omnivore,California,107,Male,33.0,West,"$50,000 - $79,999",Prefer not to say,Yes,Full-time work,Black or African American,Administrative/Clerical,Single / Never married,Rented apartment,1,Walmart (US),University/Higher Education,Burger King,Great survey,pilot
121975304,1,2,1,package 2,meatier,reducer,Arizona,135,Female,66.0,West,"$100,000 - $149,999",One to three times per week,I participate equally in grocery purchase decision,Retired,White,I don't work,Divorced,Rented house,5,Prefer not to say,High School/Tertiary/Tech. College,,,pilot
121975308,1,2,1,package 2,meatier,omnivore,New Hampshire,200,Female,42.0,Northeast,"$50,000 - $79,999",Less than once per week,Yes,Full-time work,White,Faculty/Teaching Staff,Married,Owned house;Rented apartment,2,Prefer not to say,University/Higher Education,Subway,,pilot
121975312,1,2,1,package 2,meatier,omnivore,Ohio,161,Male,75.0,Midwest,"$25,000 - $49,999",Prefer not to say,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,Save-A-Lot (US),University/Higher Education,Dairy Queen,,pilot
121975321,1,2,1,package 2,meatier,omnivore,Texas,125,Male,59.0,South,"$50,000 - $79,999",Less than once per week,Yes,Own business / Self-employed / Freelance,Other,Technical Staff,Single / Never married,Owned house,2,Prefer not to say,University/Higher Education,,,pilot
121975323,1,2,1,package 2,meatier,omnivore,Pennsylvania,156,Female,26.0,Northeast,"$15,000 - $24,999",One to three times per week,No,Unemployed,White,I don't work,Single / Never married,Living with my parents,4,Prefer not to say,University/Higher Education,,This was a nice little survey. ,pilot
121975327,1,2,1,package 2,meatier,omnivore,Michigan,352,Female,64.0,Midwest,"$0 - $14,999",Less than once per week,Yes,Retired,White,I don't work,Divorced,Owned house,1,Prefer not to say,High School/Tertiary/Tech. College,Arby's,,pilot
121975331,1,2,1,package 2,meatier,omnivore,Oklahoma,121,Female,44.0,South,"$15,000 - $24,999",One to three times per week,Yes,Homemaker,White,I don't work,Domestic partnership / Living with partner,Rented apartment,5,Walmart (US),High School/Tertiary/Tech. College,,,pilot
121975337,1,2,1,package 2,meatier,omnivore,Pennsylvania,165,Female,74.0,South,"$100,000 - $149,999",One to three times per week,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,,University/Higher Education,,,pilot
121975338,1,2,1,package 2,meatier,veg,Indiana,118,Female,26.0,Midwest,"$15,000 - $24,999",Less than once per week,I participate equally in grocery purchase decision,Full-time work,White,,Domestic partnership / Living with partner,,2,,High School/Tertiary/Tech. College,,,pilot
121975342,1,2,1,package 2,meatier,omnivore,Pennsylvania,172,Male,43.0,Northeast,"$15,000 - $24,999",Less than once per week,I participate equally in grocery purchase decision,Unemployed,White,,Divorced,,2,,High School/Tertiary/Tech. College,,,pilot
121975355,1,2,0,package 2,meatier,omnivore,Arizona,164,Female,71.0,West,"$150,000 - $199,999",Less than once per week,I participate equally in grocery purchase decision,Part-time work;Part-time work,White,Administrative/Clerical,Married,Owned house,2,Prefer not to say,University/Higher Education;University/Higher Education,Arby's,I'm gluten free so without bread is more appealing for me,pilot
121975412,1,2,1,package 2,meatier,omnivore,Massachusetts,94,Female,44.0,Northeast,,,,Full-time work,White,C-level executive,Married,Owned house,5,,University/Higher Education,,,pilot
121975419,1,2,1,package 2,meatier,omnivore,Ohio,278,Female,71.0,Midwest,,,,Retired,White,,Married,Owned house,2,,University/Higher Education,,,pilot
121975421,1,2,0,package 2,meatier,omnivore,Florida,172,Male,60.0,South,"$0 - $14,999",,,,White,,,,,,High School/Tertiary/Tech. College,,Great survey,pilot
121975430,1,2,1,package 2,meatier,reducer,Ohio,126,Male,57.0,Midwest,"$0 - $14,999",Prefer not to say,No,Retired,White,I don't work,Single / Never married,Living with my parents,2,Save-A-Lot (US),University/Higher Education,Burger King,,pilot
121975431,1,2,1,package 2,meatier,omnivore,North Carolina,150,Female,72.0,South,"$50,000 - $79,999",Less than once per week,Yes,Retired,White,I don't work,Widowed,Owned apartment,1,Other,High School/Tertiary/Tech. College,Taco Bell,,pilot
121979482,1,2,1,package 2,meatier,omnivore,Illinois,158,Female,75.0,Midwest,"$25,000 - $49,999",Less than once per week,I participate equally in grocery purchase decision,Retired,White,I don't work,Married,Owned house,2,Prefer not to say,University/Higher Education,McDonald's,,pilot
121979488,1,2,1,package 2,meatier,omnivore,Florida,187,Male,72.0,South,"$25,000 - $49,999",One to three times per week,Yes,Retired,White,I don't work,Married,Owned house,3,Costco (US),None completed,Burger King,,pilot
121983607,1,2,1,package 2,meatier,omnivore,Virginia,210,Male,40.0,South,"$25,000 - $49,999",Four to six times per week,Yes,Full-time work,White,Senior Management,Single / Never married,Rented house,3,Costco (US),University/Higher Education,,good I like this,pilot
